Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396894587,1006,874,1201,1191,944,858,839,821,4,3.846153974533081,3.846153974533081,3.846153974533081,0,0,0,4,0,22737.06280517578,9983.408630371094,445.74737548828125,16539398144,8355049472,10271584256,0
200,1759396894587,1006,874,1201,1191,944,858,839,821,4,3.846153974533081,3.846153974533081,3.846153974533081,0,0,0,4,0,22737.06280517578,9983.408630371094,445.74737548828125,16539398144,8355049472,10271621120,0
200,1759396894787,1006,874,1201,1191,944,858,839,821,100,0,0,9.523809432983398,5,18.18181800842285,5,0,0,22741.27801513672,9986.322692871094,445.91009521484375,16539398144,8355049472,10316439552,0
200,1759396894987,1006,874,1201,1191,944,858,839,821,100,0,0,0,0,0,0,0,0,22745.55859375,9989.47509765625,445.91009521484375,16539398144,8355049472,10349068288,0
199,1759396895187,1006,874,1201,1191,944,858,839,821,95.23809814453125,10,25,5.263157844543457,9.523809432983398,50,31.57894515991211,55,0,22749.496337890625,9992.171081542969,445.9918212890625,16539398144,8355049472,10364366848,0
0,1759396895388,1006,874,1201,1191,944,858,839,821,5,5.263157844543457,5.263157844543457,19.047618865966797,5.263157844543457,5.263157844543457,9.523809432983398,5,0,22751.051391601563,9992.499145507813,446.0904541015625,16539398144,8355049472,10270789632,0
