Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396928479,734,897,775,1200,966,903,598,913,3.846153974533081,7.407407283782959,3.846153974533081,0,11.111111640930176,3.846153974533081,3.846153974533081,7.407407283782959,0,23175.84991455078,10224.361022949219,449.74346923828125,16539398144,8355049472,10211467264,0
200,1759396928479,734,897,775,1200,966,903,598,913,3.846153974533081,7.407407283782959,3.846153974533081,0,11.111111640930176,3.846153974533081,3.846153974533081,7.407407283782959,0,23175.84991455078,10224.361022949219,449.74346923828125,16539398144,8355049472,10211557376,0
200,1759396928679,734,897,775,1200,966,903,598,913,23.809524536132813,20,40,95.45454406738281,23.809524536132813,25,25,20,0,23181.133361816406,10228.439880371094,449.79351806640625,16539398144,8355049472,10255609856,0
199,1759396928879,734,897,775,1200,966,903,598,913,0,0,0,100,0,0,0,0,0,23185.028198242188,10231.207397460938,449.79913330078125,16539398144,8355049472,10286686208,0
200,1759396929079,734,897,775,1200,966,903,598,913,0,10,0,47.36842346191406,0,10,0,50,0,23188.540649414063,10233.558349609375,449.79913330078125,16539398144,8355049472,10267021312,0
0,1759396929280,734,897,775,1200,966,903,598,913,5,0,4.761904716491699,0,5.263157844543457,4.761904716491699,0,5,0,23189.95654296875,10233.832092285156,449.8353271484375,16539398144,8355049472,10208968704,0
