Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396828060,1034,834,752,1009,900,870,882,644,4,3.846153974533081,7.692307949066162,7.407407283782959,11.111111640930176,7.407407283782959,3.846153974533081,3.846153974533081,0,21839.925903320313,9494.218078613281,418.067138671875,16539398144,8355049472,9985249280,0
199,1759396828060,1034,834,752,1009,900,870,882,644,4,3.846153974533081,7.692307949066162,7.407407283782959,11.111111640930176,7.407407283782959,3.846153974533081,3.846153974533081,0,21839.9345703125,9494.220153808594,418.067138671875,16539398144,8355049472,9985290240,0
200,1759396828260,1034,834,752,1009,900,870,882,644,5,5,90.47618865966797,5,22.72727394104004,0,19.047618865966797,9.523809432983398,0,21844.12255859375,9496.92236328125,418.32025146484375,16539398144,8355049472,10031722496,0
200,1759396828461,1034,834,752,1009,900,870,882,644,0,0,0,0,0,0,100,0,0,21848.045288085938,9499.735046386719,418.32025146484375,16539398144,8355049472,10065035264,0
199,1759396828661,1034,834,752,1009,900,870,882,644,10,5.263157844543457,5.263157844543457,0,5,4.761904716491699,80.95238494873047,0,0,21851.59326171875,9502.108093261719,418.376220703125,16539398144,8355049472,10081366016,0
199,1759396828861,1034,834,752,1009,900,870,882,644,95.23809814453125,90,100,95.23809814453125,95.23809814453125,95,95,100,0,21856.967651367188,9506.096313476563,418.52728271484375,16539398144,8355049472,10106511360,0
0,1759396829061,1034,834,752,1009,900,870,882,644,35,40,80,31.57894515991211,31.57894515991211,35,31.57894515991211,35,0,21860.769897460938,9508.399169921875,418.7696533203125,16539398144,8355049472,9982365696,0
