Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396972138,972,926,561,864,937,757,925,874,7.692307949066162,4,3.846153974533081,3.846153974533081,7.692307949066162,7.407407283782959,7.407407283782959,7.692307949066162,0,23702.230102539063,10499.108642578125,453.03662109375,16539398144,8355049472,10057437184,0
199,1759396972138,972,926,561,864,937,757,925,874,7.692307949066162,4,3.846153974533081,3.846153974533081,7.692307949066162,7.407407283782959,7.407407283782959,7.692307949066162,0,23702.2470703125,10499.111999511719,453.03662109375,16539398144,8355049472,10057539584,0
200,1759396972338,972,926,561,864,937,757,925,874,4.761904716491699,22.72727394104004,9.523809432983398,100,4.761904716491699,0,5,0,0,23706.318603515625,10502.021667480469,453.05072021484375,16539398144,8355049472,10106576896,0
199,1759396972538,972,926,561,864,937,757,925,874,0,0,0,100,0,4.761904716491699,0,0,0,23710.139770507813,10504.742309570313,453.05072021484375,16539398144,8355049472,10138222592,0
199,1759396972738,972,926,561,864,937,757,925,874,5.263157844543457,10.526315689086914,5,85.71428680419922,9.523809432983398,5,5,5.263157844543457,0,23713.574829101563,10507.05224609375,453.0528564453125,16539398144,8355049472,10152857600,0
199,1759396972938,972,926,561,864,937,757,925,874,100,100,100,100,100,100,100,100,0,23719.104064941406,10511.313049316406,453.07012939453125,16539398144,8355049472,10177675264,0
0,1759396973138,972,926,561,864,937,757,925,874,5.263157844543457,5,10,50,14.285715103149414,10,10,9.523809432983398,0,23721.553466796875,10512.529174804688,453.07861328125,16539398144,8355049472,10058440704,0
