Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396977342,1013,912,740,857,1014,956,852,1142,7.692307949066162,3.846153974533081,3.846153974533081,7.407407283782959,10.714285850524902,3.846153974533081,3.7037036418914795,7.407407283782959,0,23764.38262939453,10529.868347167969,453.43414306640625,16539398144,8355049472,10063589376,0
200,1759396977342,1013,912,740,857,1014,956,852,1142,7.692307949066162,3.846153974533081,3.846153974533081,7.407407283782959,10.714285850524902,3.846153974533081,3.7037036418914795,7.407407283782959,0,23764.3876953125,10529.869201660156,453.43414306640625,16539398144,8355049472,10063650816,0
200,1759396977543,1013,912,740,857,1014,956,852,1142,0,0,5,0,15.000000953674316,100,5,5,0,23768.63409423828,10532.946716308594,453.4715576171875,16539398144,8355049472,10113048576,0
200,1759396977743,1013,912,740,857,1014,956,852,1142,0,0,0,0,0,100,0,0,0,23773.001342773438,10536.184631347656,453.4715576171875,16539398144,8355049472,10142736384,0
197,1759396977945,1013,912,740,857,1014,956,852,1142,20,28.571430206298828,25,31.81818199157715,31.81818199157715,100,28.571430206298828,25,0,23777.324645996094,10539.334228515625,453.4715576171875,16539398144,8355049472,10159595520,0
200,1759396978143,1013,912,740,857,1014,956,852,1142,20,28.571430206298828,25,31.81818199157715,31.81818199157715,100,28.571430206298828,25,0,23782.931579589844,10543.67919921875,453.48150634765625,16539398144,8355049472,10136911872,0
0,1759396978343,1013,912,740,857,1014,956,852,1142,46.153846740722656,48.71794891357422,48.71794891357422,47.36842346191406,48.71794891357422,47.5,47.36842346191406,70.73170471191406,0,23784.972595214844,10544.494445800781,453.49322509765625,16539398144,8355049472,10062946304,0
