Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396945905,831,823,909,787,981,842,686,941,4,7.692307949066162,0,3.846153974533081,7.407407283782959,3.846153974533081,7.407407283782959,7.407407283782959,0,23369.73046875,10315.652893066406,451.231689453125,16539398144,8355049472,10192048128,0
199,1759396945905,831,823,909,787,981,842,686,941,4,7.692307949066162,0,3.846153974533081,7.407407283782959,3.846153974533081,7.407407283782959,7.407407283782959,0,23369.73046875,10315.652893066406,451.231689453125,16539398144,8355049472,10192101376,0
200,1759396946105,831,823,909,787,981,842,686,941,66.66667175292969,0,4.761904716491699,10.526315689086914,42.85714340209961,0,5,0,0,23373.884338378906,10318.557983398438,451.25006103515625,16539398144,8355049472,10278699008,0
200,1759396946305,831,823,909,787,981,842,686,941,52.6315803527832,0,0,0,4.761904716491699,0,0,42.105262756347656,0,23378.138061523438,10321.574951171875,451.25006103515625,16539398144,8355049472,10339692544,0
200,1759396946505,831,823,909,787,981,842,686,941,14.285715103149414,0,0,0,0,0,0,100,0,23382.21795654297,10324.551452636719,451.25006103515625,16539398144,8355049472,10366701568,0
200,1759396946705,831,823,909,787,981,842,686,941,0,0,5,0,0,0,0,100,0,23386.163452148438,10327.326110839844,451.26904296875,16539398144,8355049472,10383511552,0
200,1759396946905,831,823,909,787,981,842,686,941,5,0,9.523809432983398,0,0,0,0,90.47618865966797,0,23389.847229003906,10329.892333984375,451.27099609375,16539398144,8355049472,10411982848,0
200,1759396947105,831,823,909,787,981,842,686,941,0,0,0,0,0,0,4.761904716491699,100,0,23393.486083984375,10332.405639648438,451.27099609375,16539398144,8355049472,10435108864,0
200,1759396947306,831,823,909,787,981,842,686,941,5,0,4.761904716491699,0,0,0,0,100,0,23397.35919189453,10335.144653320313,451.28076171875,16539398144,8355049472,10469834752,0
200,1759396947506,831,823,909,787,981,842,686,941,4.761904716491699,0,0,15.789472579956055,0,0,0,84.21052551269531,0,23400.86065673828,10337.512390136719,451.28076171875,16539398144,8355049472,10484457472,0
200,1759396947706,831,823,909,787,981,842,686,941,0,0,0,90,0,0,0,0,0,23404.514709472656,10340.050354003906,451.28375244140625,16539398144,8355049472,10498285568,0
200,1759396947906,831,823,909,787,981,842,686,941,9.523809432983398,0,0,100,0,0,5,0,0,23407.430786132813,10341.811706542969,451.28375244140625,16539398144,8355049472,10498682880,0
200,1759396948106,831,823,909,787,981,842,686,941,0,5,0,100,0,0,0,0,0,23409.557373046875,10342.772583007813,451.28375244140625,16539398144,8355049472,10498916352,0
200,1759396948306,831,823,909,787,981,842,686,941,0,0,0,80,0,23.809524536132813,0,0,0,23412.40380859375,10344.455017089844,451.2869873046875,16539398144,8355049472,10186702848,0
0,1759396948507,831,823,909,787,981,842,686,941,5,10,4.761904716491699,0,4.761904716491699,19.047618865966797,5,0,0,23413.871948242188,10344.774475097656,451.32232666015625,16539398144,8355049472,10187051008,0
