Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396870363,1024,930,653,848,1117,688,949,918,7.692307949066162,0,4,7.407407283782959,7.692307949066162,4,7.692307949066162,7.407407283782959,0,22408.712829589844,9802.103942871094,436.1400146484375,16539398144,8355049472,10365210624,0
200,1759396870363,1024,930,653,848,1117,688,949,918,7.692307949066162,0,4,7.407407283782959,7.692307949066162,4,7.692307949066162,7.407407283782959,0,22408.732360839844,9802.110473632813,436.1400146484375,16539398144,8355049472,10365788160,0
200,1759396870563,1024,930,653,848,1117,688,949,918,95.45454406738281,4.761904716491699,0,5,4.761904716491699,9.523809432983398,20,5,0,22412.941955566406,9804.991271972656,436.32720947265625,16539398144,8355049472,10416099328,0
200,1759396870763,1024,930,653,848,1117,688,949,918,100,0,0,0,0,0,0,0,0,22417.15887451172,9808.082275390625,436.33026123046875,16539398144,8355049472,10448805888,0
199,1759396870963,1024,930,653,848,1117,688,949,918,90,15.000000953674316,15.000000953674316,10.526315689086914,15.000000953674316,10,15.789472579956055,15.000000953674316,0,22421.27276611328,9810.94873046875,436.42999267578125,16539398144,8355049472,10466734080,0
200,1759396871163,1024,930,653,848,1117,688,949,918,100,100,100,100,100,100,100,100,0,22427.249755859375,9815.390625,436.71343994140625,16539398144,8355049472,10491703296,0
0,1759396871363,1024,930,653,848,1117,688,949,918,50,50,47.619049072265625,42.105262756347656,45,45,45,90.47618865966797,0,22431.677368164063,9818.185668945313,437.07080078125,16539398144,8355049472,10370322432,0
