Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396881384,1748,1029,955,674,1133,898,980,945,4,14.814814567565918,7.407407283782959,3.846153974533081,4,0,4,3.846153974533081,0,22556.86767578125,9882.501892089844,440.841064453125,16539398144,8355049472,10357895168,0
200,1759396881384,1748,1029,955,674,1133,898,980,945,4,14.814814567565918,7.407407283782959,3.846153974533081,4,0,4,3.846153974533081,0,22556.86767578125,9882.501892089844,440.841064453125,16539398144,8355049472,10357932032,0
200,1759396881584,1748,1029,955,674,1133,898,980,945,80.95238494873047,15.000000953674316,0,9.523809432983398,20,9.090909004211426,13.636363983154297,5,0,22560.841430664063,9885.194641113281,440.98199462890625,16539398144,8355049472,10443186176,0
199,1759396881784,1748,1029,955,674,1133,898,980,945,0,0,0,0,65,0,0,35,0,22565.104736328125,9888.324768066406,440.98846435546875,16539398144,8355049472,10504970240,0
200,1759396881985,1748,1029,955,674,1133,898,980,945,0,5,5,5,0,4.761904716491699,0,100,0,22569.358642578125,9891.361694335938,441.0758056640625,16539398144,8355049472,10534944768,0
200,1759396882185,1748,1029,955,674,1133,898,980,945,0,13.636363983154297,0,5,5,0,5,100,0,22573.70343017578,9894.236694335938,441.3951416015625,16539398144,8355049472,10544414720,0
199,1759396882385,1748,1029,955,674,1133,898,980,945,5,0,9.523809432983398,0,0,9.090909004211426,5.263157844543457,89.47368621826172,0,22577.53533935547,9896.551208496094,441.75408935546875,16539398144,8355049472,10567573504,0
200,1759396882585,1748,1029,955,674,1133,898,980,945,0,13.636363983154297,14.285715103149414,0,0,0,0,100,0,22581.909729003906,9899.452026367188,442.08538818359375,16539398144,8355049472,10596995072,0
200,1759396882785,1748,1029,955,674,1133,898,980,945,0,13.636363983154297,14.285715103149414,0,0,0,0,100,0,22585.503356933594,9901.676025390625,442.305908203125,16539398144,8355049472,10622775296,0
200,1759396882985,1748,1029,955,674,1133,898,980,945,0,2.5,66.66667175292969,2.5,4.878048419952393,2.5,2.5,33.333335876464844,0,22589.12811279297,9904.154724121094,442.31195068359375,16539398144,8355049472,10650800128,0
200,1759396883185,1748,1029,955,674,1133,898,980,945,0,0,100,0,0,4.761904716491699,0,0,0,22593.025329589844,9906.936889648438,442.3209228515625,16539398144,8355049472,10664198144,0
200,1759396883385,1748,1029,955,674,1133,898,980,945,0,0,100,0,0,0,0,0,0,22596.41729736328,9909.205993652344,442.3209228515625,16539398144,8355049472,10669731840,0
200,1759396883585,1748,1029,955,674,1133,898,980,945,4.761904716491699,0,100,0,9.523809432983398,0,4.761904716491699,0,0,22598.86279296875,9910.473876953125,442.3212890625,16539398144,8355049472,10667499520,0
200,1759396883786,1748,1029,955,674,1133,898,980,945,0,4.761904716491699,100,0,4.761904716491699,0,0,0,0,22601.451416015625,9911.894348144531,442.3212890625,16539398144,8355049472,10662350848,0
0,1759396883986,1748,1029,955,674,1133,898,980,945,35,0,5,0,0,0,0,0,0,22603.41668701172,9912.735961914063,442.33282470703125,16539398144,8355049472,10356498432,0
