Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396889885,692,900,962,886,825,877,825,1133,11.538461685180664,11.538461685180664,14.814814567565918,22.22222328186035,11.538461685180664,15.384615898132324,14.814814567565918,11.538461685180664,0,22673.639099121094,9948.112854003906,444.18389892578125,16539398144,8355049472,10322849792,0
200,1759396889885,692,900,962,886,825,877,825,1133,11.538461685180664,11.538461685180664,14.814814567565918,22.22222328186035,11.538461685180664,15.384615898132324,14.814814567565918,11.538461685180664,0,22673.639099121094,9948.112854003906,444.18389892578125,16539398144,8355049472,10322853888,0
200,1759396890085,692,900,962,886,825,877,825,1133,40.90909194946289,19.047618865966797,26.086956024169922,66.66667175292969,60.869564056396484,18.18181800842285,19.047618865966797,57.142860412597656,0,22678.900634765625,9952.049499511719,444.3341064453125,16539398144,8355049472,10150944768,0
200,1759396890285,692,900,962,886,825,877,825,1133,0,0,0,0,0,0,0,100,0,22682.861572265625,9954.888244628906,444.3341064453125,16539398144,8355049472,10184179712,0
199,1759396890485,692,900,962,886,825,877,825,1133,4.761904716491699,9.523809432983398,0,0,5.263157844543457,0,10,90,0,22686.32891845703,9957.051391601563,444.48089599609375,16539398144,8355049472,10199597056,0
0,1759396890685,692,900,962,886,825,877,825,1133,0,4.761904716491699,0,9.523809432983398,9.523809432983398,5,20,25,0,22688.16680908203,9957.594177246094,444.6357421875,16539398144,8355049472,10106220544,0
