Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396913932,1229,788,1018,716,926,581,886,851,4,4,0,7.407407283782959,7.692307949066162,3.846153974533081,7.692307949066162,11.111111640930176,0,22979.166564941406,10110.267883300781,448.8294677734375,16539398144,8355049472,10048823296,0
199,1759396913932,1229,788,1018,716,926,581,886,851,4,4,0,7.407407283782959,7.692307949066162,3.846153974533081,7.692307949066162,11.111111640930176,0,22979.174438476563,10110.271301269531,448.8294677734375,16539398144,8355049472,10048872448,0
200,1759396914132,1229,788,1018,716,926,581,886,851,5,4.761904716491699,5,0,100,5,0,15.000000953674316,0,22983.1298828125,10113.086608886719,448.84112548828125,16539398144,8355049472,10135646208,0
200,1759396914332,1229,788,1018,716,926,581,886,851,0,0,0,0,60.000003814697266,0,0,45,0,22987.340881347656,10116.162902832031,448.847900390625,16539398144,8355049472,10198671360,0
200,1759396914532,1229,788,1018,716,926,581,886,851,0,0,4.761904716491699,0,10,0,0,100,0,22991.504760742188,10119.19384765625,448.85443115234375,16539398144,8355049472,10224726016,0
200,1759396914733,1229,788,1018,716,926,581,886,851,0,14.285715103149414,5,0,0,0,0,100,0,22995.592224121094,10122.122802734375,448.88739013671875,16539398144,8355049472,10240688128,0
200,1759396914933,1229,788,1018,716,926,581,886,851,0,0,0,0,0,0,0,85,0,22999.049865722656,10124.441162109375,448.89605712890625,16539398144,8355049472,10270502912,0
200,1759396915133,1229,788,1018,716,926,581,886,851,0,0,0,0,0,0,0,100,0,23002.799682617188,10127.066955566406,448.89605712890625,16539398144,8355049472,10294321152,0
200,1759396915333,1229,788,1018,716,926,581,886,851,0,0,0,0,0,0,0,100,0,23006.58349609375,10129.726745605469,448.89605712890625,16539398144,8355049472,10332377088,0
200,1759396915533,1229,788,1018,716,926,581,886,851,0,0,0,4.761904716491699,0,0,0,100,0,23010.12176513672,10132.112854003906,448.91290283203125,16539398144,8355049472,10343702528,0
200,1759396915733,1229,788,1018,716,926,581,886,851,0,0,0,0,4.761904716491699,4.761904716491699,0,100,0,23013.982971191406,10134.860961914063,448.91290283203125,16539398144,8355049472,10357686272,0
200,1759396915933,1229,788,1018,716,926,581,886,851,0,0,0,0,4.761904716491699,0,0,100,0,23016.705078125,10136.421875,448.91290283203125,16539398144,8355049472,10355126272,0
200,1759396916133,1229,788,1018,716,926,581,886,851,0,0,5,5,0,0,0,100,0,23018.86163330078,10137.404052734375,448.91290283203125,16539398144,8355049472,10355187712,0
0,1759396916334,1229,788,1018,716,926,581,886,851,38.095237731933594,0,0,0,4.761904716491699,0,0,52.6315803527832,0,23021.61846923828,10139.014038085938,448.92010498046875,16539398144,8355049472,10043084800,0
