Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396909720,1148,965,873,590,925,1706,1013,3327,7.407407283782959,3.846153974533081,4,3.846153974533081,7.692307949066162,0,0,3.846153974533081,0,22925.763610839844,10080.706604003906,448.578369140625,16539398144,8355049472,10048679936,0
199,1759396909720,1148,965,873,590,925,1706,1013,3327,7.407407283782959,3.846153974533081,4,3.846153974533081,7.692307949066162,0,0,3.846153974533081,0,22925.771484375,10080.709838867188,448.578369140625,16539398144,8355049472,10048798720,0
200,1759396909920,1148,965,873,590,925,1706,1013,3327,4.761904716491699,15.789472579956055,0,100,0,0,0,0,0,22929.612915039063,10083.414978027344,448.59295654296875,16539398144,8355049472,10134822912,0
200,1759396910120,1148,965,873,590,925,1706,1013,3327,0,0,0,90,4.761904716491699,0,0,10,0,22933.52392578125,10086.195861816406,448.59820556640625,16539398144,8355049472,10196041728,0
200,1759396910320,1148,965,873,590,925,1706,1013,3327,4.761904716491699,4.761904716491699,9.523809432983398,100,0,0,0,0,0,22937.563598632813,10089.112182617188,448.59820556640625,16539398144,8355049472,10223681536,0
199,1759396910521,1148,965,873,590,925,1706,1013,3327,0,0,0,100,9.523809432983398,0,0,4.761904716491699,0,22941.48321533203,10091.888000488281,448.61859130859375,16539398144,8355049472,10239774720,0
199,1759396910721,1148,965,873,590,925,1706,1013,3327,0,0,57.894737243652344,26.3157901763916,0,5,0,0,0,22944.828247070313,10094.09521484375,448.62188720703125,16539398144,8355049472,10264854528,0
199,1759396910921,1148,965,873,590,925,1706,1013,3327,0,0,100,0,0,0,0,0,0,22948.64892578125,10096.797607421875,448.62188720703125,16539398144,8355049472,10293706752,0
199,1759396911121,1148,965,873,590,925,1706,1013,3327,0,0,90,0,0,0,4.761904716491699,0,0,22952.104553222656,10099.115783691406,448.62646484375,16539398144,8355049472,10325770240,0
200,1759396911321,1148,965,873,590,925,1706,1013,3327,0,0,100,0,0,0,0,0,0,22955.608825683594,10101.471252441406,448.63726806640625,16539398144,8355049472,10341883904,0
200,1759396911521,1148,965,873,590,925,1706,1013,3327,0,0,100,0,0,0,0,0,0,22959.440307617188,10104.187377929688,448.63726806640625,16539398144,8355049472,10356133888,0
199,1759396911721,1148,965,873,590,925,1706,1013,3327,0,0,100,0,5,0,4.761904716491699,0,0,22962.57452392578,10106.182556152344,448.63726806640625,16539398144,8355049472,10357600256,0
200,1759396911921,1148,965,873,590,925,1706,1013,3327,0,5,95.23809814453125,0,0,0,4.761904716491699,0,0,22964.742248535156,10107.162902832031,448.6400146484375,16539398144,8355049472,10358231040,0
200,1759396912121,1148,965,873,590,925,1706,1013,3327,0,5,95.23809814453125,0,0,0,4.761904716491699,0,0,22967.52215576172,10108.778381347656,448.6400146484375,16539398144,8355049472,10046156800,0
0,1759396912322,1148,965,873,590,925,1706,1013,3327,0,0,0,0,0,0,43.589744567871094,20,0,22969.116455078125,10109.251708984375,448.6551513671875,16539398144,8355049472,10042998784,0
