Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396867762,812,965,863,943,935,822,819,1052,7.692307949066162,7.407407283782959,4,7.407407283782959,4,3.846153974533081,4,15.384615898132324,0,22375.521606445313,9785.363525390625,435.20599365234375,16539398144,8355049472,10367868928,0
200,1759396867762,812,965,863,943,935,822,819,1052,7.692307949066162,7.407407283782959,4,7.407407283782959,4,3.846153974533081,4,15.384615898132324,0,22375.521606445313,9785.363525390625,435.20599365234375,16539398144,8355049472,10367778816,0
200,1759396867963,812,965,863,943,935,822,819,1052,100,5,5,0,0,5,0,5,0,22379.964111328125,9788.527526855469,435.3475341796875,16539398144,8355049472,10420523008,0
200,1759396868163,812,965,863,943,935,822,819,1052,100,0,0,0,0,0,0,0,0,22384.141052246094,9791.583862304688,435.3475341796875,16539398144,8355049472,10451886080,0
199,1759396868363,812,965,863,943,935,822,819,1052,90,5,5.263157844543457,0,4.761904716491699,10,4.761904716491699,10,0,22387.738525390625,9793.929626464844,435.45977783203125,16539398144,8355049472,10464915456,0
200,1759396868563,812,965,863,943,935,822,819,1052,100,94.73684692382813,94.73684692382813,26.3157901763916,94.73684692382813,95.23809814453125,95,95,0,22393.204162597656,9797.962036132813,435.64520263671875,16539398144,8355049472,10493546496,0
0,1759396868763,812,965,863,943,935,822,819,1052,50,50,52.38095474243164,95,55,50,55,47.619049072265625,0,22397.572875976563,9800.866088867188,435.8387451171875,16539398144,8355049472,10370211840,0
