Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396986411,4350,2391,1480,2119,4171,2086,2558,3624,97.6744155883789,4.545454502105713,2.3255813121795654,2.3809523582458496,4.761904716491699,0,6.976744651794434,2.3255813121795654,0,23894.9375,10607.098815917969,453.98431396484375,16539398144,8355049472,10230304768,0
200,1759396986411,4350,2391,1480,2119,4171,2086,2558,3624,97.6744155883789,4.545454502105713,2.3255813121795654,2.3809523582458496,4.761904716491699,0,6.976744651794434,2.3255813121795654,0,23894.9375,10607.098815917969,453.98431396484375,16539398144,8355049472,10230329344,0
200,1759396986611,4350,2391,1480,2119,4171,2086,2558,3624,95,100,15.000000953674316,5.263157844543457,9.523809432983398,4.761904716491699,9.523809432983398,9.523809432983398,0,23901.249267578125,10612.208129882813,454.00518798828125,16539398144,8355049472,10374361088,0
200,1759396986812,4350,2391,1480,2119,4171,2086,2558,3624,14.285715103149414,55,0,0,0,0,0,42.105262756347656,0,23905.69122314453,10615.504943847656,454.00518798828125,16539398144,8355049472,10371903488,0
200,1759396987012,4350,2391,1480,2119,4171,2086,2558,3624,0,0,0,90,0,0,0,9.523809432983398,0,23909.5712890625,10618.26513671875,454.00518798828125,16539398144,8355049472,10398560256,0
200,1759396987212,4350,2391,1480,2119,4171,2086,2558,3624,0,0,10,100,0,0,0,4.761904716491699,0,23913.658264160156,10621.195739746094,454.0328369140625,16539398144,8355049472,10414870528,0
200,1759396987412,4350,2391,1480,2119,4171,2086,2558,3624,0,0,0,90,0,0,0,0,0,23917.148559570313,10623.550659179688,454.0374755859375,16539398144,8355049472,10445045760,0
200,1759396987612,4350,2391,1480,2119,4171,2086,2558,3624,0,0,0,100,0,0,0,0,0,23920.85028076172,10626.123596191406,454.0374755859375,16539398144,8355049472,10468433920,0
200,1759396987812,4350,2391,1480,2119,4171,2086,2558,3624,4.761904716491699,0,4.761904716491699,90,0,0,0,0,0,23924.438537597656,10628.587219238281,454.03973388671875,16539398144,8355049472,10503946240,0
200,1759396988012,4350,2391,1480,2119,4171,2086,2558,3624,4.761904716491699,4.761904716491699,0,100,0,4.761904716491699,0,0,0,23927.99444580078,10631.001342773438,454.043701171875,16539398144,8355049472,10522423296,0
200,1759396988213,4350,2391,1480,2119,4171,2086,2558,3624,0,0,0,100,0,0,0,0,0,23931.849609375,10633.741271972656,454.043701171875,16539398144,8355049472,10536194048,0
200,1759396988413,4350,2391,1480,2119,4171,2086,2558,3624,0,0,0,100,4.761904716491699,0,0,0,0,23934.84033203125,10635.592468261719,454.043701171875,16539398144,8355049472,10538307584,0
199,1759396988613,4350,2391,1480,2119,4171,2086,2558,3624,0,0,0,100,0,0,0,0,0,23936.990966796875,10636.552062988281,454.0556640625,16539398144,8355049472,10532225024,0
200,1759396988813,4350,2391,1480,2119,4171,2086,2558,3624,0,0,0,100,0,0,0,0,0,23939.83905029297,10638.2392578125,454.0556640625,16539398144,8355049472,10220216320,0
0,1759396989013,4350,2391,1480,2119,4171,2086,2558,3624,0,17.5,0,43.589744567871094,2.5,5,0,0,0,23941.335815429688,10638.607666015625,454.069091796875,16539398144,8355049472,10219970560,0
