Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396857788,847,723,925,738,966,2500,764,1108,3.846153974533081,4,7.692307949066162,3.846153974533081,11.111111640930176,3.846153974533081,3.846153974533081,4,0,22241.98651123047,9714.622436523438,430.38861083984375,16539398144,8355049472,10203623424,0
199,1759396857789,847,723,925,738,966,2500,764,1108,3.846153974533081,4,7.692307949066162,3.846153974533081,11.111111640930176,3.846153974533081,3.846153974533081,4,0,22241.993530273438,9714.624206542969,430.38861083984375,16539398144,8355049472,10203668480,0
199,1759396857989,847,723,925,738,966,2500,764,1108,4.761904716491699,0,9.523809432983398,4.761904716491699,100,5,5,15.000000953674316,0,22246.184936523438,9717.50830078125,430.562255859375,16539398144,8355049472,10248577024,0
199,1759396858189,847,723,925,738,966,2500,764,1108,0,0,0,0,100,0,0,0,0,22250.495483398438,9720.69189453125,430.57025146484375,16539398144,8355049472,10280882176,0
199,1759396858389,847,723,925,738,966,2500,764,1108,5.263157844543457,18.18181800842285,40,5,89.47368621826172,42.85714340209961,10.526315689086914,40,0,22254.37860107422,9723.315979003906,430.67218017578125,16539398144,8355049472,10298892288,0
0,1759396858589,847,723,925,738,966,2500,764,1108,10.526315689086914,0,21.052631378173828,5,28.571430206298828,15.789472579956055,5.263157844543457,20,0,22256.289489746094,9723.916687011719,430.84552001953125,16539398144,8355049472,10203500544,0
