Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396940690,1029,908,643,928,918,891,781,3281,11.111111640930176,0,3.846153974533081,11.538461685180664,7.407407283782959,3.846153974533081,7.692307949066162,4,0,23306.948974609375,10284.367858886719,450.83367919921875,16539398144,8355049472,10195726336,0
200,1759396940690,1029,908,643,928,918,891,781,3281,11.111111640930176,0,3.846153974533081,11.538461685180664,7.407407283782959,3.846153974533081,7.692307949066162,4,0,23306.95721435547,10284.370361328125,450.83367919921875,16539398144,8355049472,10195816448,0
200,1759396940891,1029,908,643,928,918,891,781,3281,100,5,0,9.523809432983398,0,0,0,10,0,23311.328063964844,10287.601013183594,450.84674072265625,16539398144,8355049472,10245976064,0
200,1759396941091,1029,908,643,928,918,891,781,3281,25,0,0,0,73.68421173095703,0,0,0,0,23315.4501953125,10290.595397949219,450.84674072265625,16539398144,8355049472,10276753408,0
199,1759396941291,1029,908,643,928,918,891,781,3281,20,23.809524536132813,20,21.052631378173828,100,20,23.809524536132813,25,0,23319.543884277344,10293.539489746094,450.85028076171875,16539398144,8355049472,10291470336,0
200,1759396941491,1029,908,643,928,918,891,781,3281,100,100,100,95.23809814453125,95,100,100,100,0,23325.181213378906,10297.882263183594,450.87890625,16539398144,8355049472,10240413696,0
0,1759396941691,1029,908,643,928,918,891,781,3281,4.761904716491699,0,45,0,0,0,4.761904716491699,0,0,23327.24383544922,10298.710510253906,450.8905029296875,16539398144,8355049472,10193887232,0
