Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396967297,1290,1071,881,2266,2189,927,2091,1395,7.407407283782959,8,3.846153974533081,7.407407283782959,10.714285850524902,7.692307949066162,4,7.692307949066162,0,23652.859985351563,10477.053405761719,452.62103271484375,16539398144,8355049472,10056638464,0
199,1759396967297,1290,1071,881,2266,2189,927,2091,1395,7.407407283782959,8,3.846153974533081,7.407407283782959,10.714285850524902,7.692307949066162,4,7.692307949066162,0,23652.87060546875,10477.057312011719,452.62103271484375,16539398144,8355049472,10056732672,0
200,1759396967497,1290,1071,881,2266,2189,927,2091,1395,10,19.047618865966797,0,10,0,0,4.761904716491699,100,0,23657.041748046875,10480.087890625,452.63421630859375,16539398144,8355049472,10105966592,0
200,1759396967697,1290,1071,881,2266,2189,927,2091,1395,0,0,4.761904716491699,0,4.761904716491699,0,4.761904716491699,100,0,23660.804809570313,10482.73291015625,452.63421630859375,16539398144,8355049472,10135396352,0
199,1759396967897,1290,1071,881,2266,2189,927,2091,1395,15.000000953674316,42.105262756347656,0,0,42.105262756347656,9.523809432983398,45,90,0,23664.458374023438,10485.227722167969,452.64349365234375,16539398144,8355049472,10151346176,0
1,1759396968098,1290,1071,881,2266,2189,927,2091,1395,5,10,4.761904716491699,4.761904716491699,10,0,10,10,0,23665.903869628906,10485.52880859375,452.66998291015625,16539398144,8355049472,10058711040,0
