Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396892198,1429,4333,2134,1304,2994,4426,3904,1575,10.8695650100708,6.6666669845581055,4.44444465637207,10.8695650100708,8.88888931274414,11.36363697052002,97.7272720336914,4.651162624359131,0,22706.333862304688,9967.045471191406,444.89508056640625,16539398144,8355049472,10235383808,0
200,1759396892198,1429,4333,2134,1304,2994,4426,3904,1575,10.8695650100708,6.6666669845581055,4.44444465637207,10.8695650100708,8.88888931274414,11.36363697052002,97.7272720336914,4.651162624359131,0,22706.333862304688,9967.045471191406,444.89508056640625,16539398144,8355049472,10235547648,0
199,1759396892398,1429,4333,2134,1304,2994,4426,3904,1575,100,10.526315689086914,15.000000953674316,0,5,0,85.71428680419922,9.523809432983398,0,22712.25244140625,9971.612121582031,445.0718994140625,16539398144,8355049472,10290028544,0
200,1759396892598,1429,4333,2134,1304,2994,4426,3904,1575,100,9.523809432983398,100,15.000000953674316,5,0,0,4.761904716491699,0,22717.96697998047,9976.096008300781,445.12542724609375,16539398144,8355049472,10345041920,0
200,1759396892798,1429,4333,2134,1304,2994,4426,3904,1575,68.42105102539063,5,90,10,5,0,0,26.3157901763916,0,22722.949951171875,9979.894165039063,445.12542724609375,16539398144,8355049472,10368020480,0
0,1759396892998,1429,4333,2134,1304,2994,4426,3904,1575,13.636363983154297,20,66.66667175292969,10,19.047618865966797,14.285715103149414,15.000000953674316,45,0,22726.706665039063,9982.228332519531,445.36053466796875,16539398144,8355049472,10270711808,0
