Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396907121,912,716,802,766,932,1040,1139,866,7.407407283782959,4,3.846153974533081,3.846153974533081,4,3.846153974533081,4,3.846153974533081,0,22890.90753173828,10061.451110839844,448.34930419921875,16539398144,8355049472,10099089408,0
199,1759396907121,912,716,802,766,932,1040,1139,866,7.407407283782959,4,3.846153974533081,3.846153974533081,4,3.846153974533081,4,3.846153974533081,0,22890.90753173828,10061.451110839844,448.34930419921875,16539398144,8355049472,10099204096,0
199,1759396907321,912,716,802,766,932,1040,1139,866,25,35,25,25,95.23809814453125,25,20,20,0,22896.167602539063,10065.454772949219,448.377685546875,16539398144,8355049472,10130452480,0
199,1759396907521,912,716,802,766,932,1040,1139,866,0,0,0,0,100,5,0,0,0,22900.31561279297,10068.475219726563,448.377685546875,16539398144,8355049472,10164465664,0
199,1759396907721,912,716,802,766,932,1040,1139,866,5,0,0,10,94.73684692382813,0,0,4.761904716491699,0,22903.916931152344,10070.937316894531,448.38714599609375,16539398144,8355049472,10178674688,0
200,1759396907921,912,716,802,766,932,1040,1139,866,5,0,0,10,94.73684692382813,0,0,4.761904716491699,0,22908.7841796875,10074.598083496094,448.4007568359375,16539398144,8355049472,10204815360,0
0,1759396908121,912,716,802,766,932,1040,1139,866,65.8536605834961,65,65,70,77.5,87.5,67.5,65,0,22913.611938476563,10078.105224609375,448.4434814453125,16539398144,8355049472,10045935616,0
