Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396964871,755,761,890,675,870,894,750,715,7.692307949066162,3.846153974533081,4,11.111111640930176,8,4,11.111111640930176,7.407407283782959,0,23627.286254882813,10465.244934082031,452.39739990234375,16539398144,8355049472,10270744576,0
200,1759396964871,755,761,890,675,870,894,750,715,7.692307949066162,3.846153974533081,4,11.111111640930176,8,4,11.111111640930176,7.407407283782959,0,23627.294982910156,10465.246215820313,452.39739990234375,16539398144,8355049472,10270785536,0
200,1759396965071,755,761,890,675,870,894,750,715,20,35,25,21.052631378173828,100,25,25,21.052631378173828,0,23632.480590820313,10469.230712890625,452.4476318359375,16539398144,8355049472,10313785344,0
200,1759396965271,755,761,890,675,870,894,750,715,0,0,0,0,100,0,0,0,0,23636.70489501953,10472.333068847656,452.4476318359375,16539398144,8355049472,10347929600,0
200,1759396965471,755,761,890,675,870,894,750,715,4.761904716491699,5,0,0,55,5,0,45,0,23640.249877929688,10474.701904296875,452.45648193359375,16539398144,8355049472,10364178432,0
0,1759396965671,755,761,890,675,870,894,750,715,0,0,0,0,0,0,4.761904716491699,5,0,23641.614868164063,10474.923767089844,452.48931884765625,16539398144,8355049472,10270924800,0
