Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396833192,859,888,3428,957,3557,800,791,1024,3.846153974533081,4,3.846153974533081,7.407407283782959,14.285715103149414,7.692307949066162,3.846153974533081,3.846153974533081,0,21922.249755859375,9543.715148925781,420.06231689453125,16539398144,8355049472,10138877952,0
199,1759396833193,859,888,3428,957,3557,800,791,1024,3.846153974533081,4,3.846153974533081,7.407407283782959,14.285715103149414,7.692307949066162,3.846153974533081,3.846153974533081,0,21922.258056640625,9543.717712402344,420.06231689453125,16539398144,8355049472,10139017216,0
199,1759396833393,859,888,3428,957,3557,800,791,1024,100,25,30.000001907348633,40,28.571430206298828,25,25,35,0,21927.298217773438,9547.404846191406,420.2320556640625,16539398144,8355049472,10182291456,0
199,1759396833593,859,888,3428,957,3557,800,791,1024,100,0,0,0,4.761904716491699,0,0,0,0,21931.462829589844,9550.447875976563,420.2320556640625,16539398144,8355049472,10217795584,0
199,1759396833793,859,888,3428,957,3557,800,791,1024,90,9.523809432983398,5,0,0,9.523809432983398,5,5,0,21935.409301757813,9553.1953125,420.300048828125,16539398144,8355049472,10234974208,0
200,1759396833993,859,888,3428,957,3557,800,791,1024,100,100,100,100,100,100,100,95.23809814453125,0,21941.011596679688,9557.229431152344,420.61248779296875,16539398144,8355049472,10260656128,0
0,1759396834193,859,888,3428,957,3557,800,791,1024,68.42105102539063,21.052631378173828,21.052631378173828,21.052631378173828,27.272727966308594,25,30.000001907348633,26.3157901763916,0,21944.395263671875,9559.10302734375,420.86236572265625,16539398144,8355049472,10138673152,0
