Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396933008,668,765,1183,555,901,934,703,694,4,7.407407283782959,7.407407283782959,7.692307949066162,7.692307949066162,7.407407283782959,4,3.846153974533081,0,23221.238525390625,10244.109497070313,450.20941162109375,16539398144,8355049472,10210332672,0
199,1759396933008,668,765,1183,555,901,934,703,694,4,7.407407283782959,7.407407283782959,7.692307949066162,7.692307949066162,7.407407283782959,4,3.846153974533081,0,23221.2451171875,10244.111206054688,450.20941162109375,16539398144,8355049472,10210369536,0
200,1759396933208,668,765,1183,555,901,934,703,694,5,0,0,100,19.047618865966797,0,0,0,0,23225.34375,10247.052612304688,450.2423095703125,16539398144,8355049472,10258059264,0
200,1759396933409,668,765,1183,555,901,934,703,694,0,0,0,100,0,0,0,0,0,23229.186584472656,10249.774108886719,450.2423095703125,16539398144,8355049472,10288586752,0
200,1759396933609,668,765,1183,555,901,934,703,694,14.285715103149414,5,25,50,47.619049072265625,50,28.571430206298828,55,0,23232.932983398438,10252.363342285156,450.2452392578125,16539398144,8355049472,10234531840,0
0,1759396933809,668,765,1183,555,901,934,703,694,0,0,0,0,0,0,0,0,0,23234.216918945313,10252.496398925781,450.28265380859375,16539398144,8355049472,10209320960,0
