Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396938097,1075,687,628,858,936,822,880,828,0,7.692307949066162,7.407407283782959,4,7.407407283782959,22.22222328186035,7.692307949066162,4,0,23276.718505859375,10269.830139160156,450.63568115234375,16539398144,8355049472,10192547840,0
200,1759396938097,1075,687,628,858,936,822,880,828,0,7.692307949066162,7.407407283782959,4,7.407407283782959,22.22222328186035,7.692307949066162,4,0,23276.718505859375,10269.830139160156,450.63568115234375,16539398144,8355049472,10192596992,0
200,1759396938297,1075,687,628,858,936,822,880,828,0,0,4.761904716491699,95,5,0,0,4.761904716491699,0,23280.799377441406,10272.689697265625,450.64459228515625,16539398144,8355049472,10244100096,0
200,1759396938497,1075,687,628,858,936,822,880,828,4.761904716491699,0,0,100,0,4.761904716491699,0,0,0,23284.61572265625,10275.385498046875,450.64459228515625,16539398144,8355049472,10274664448,0
200,1759396938697,1075,687,628,858,936,822,880,828,0,0,0,95,0,10,5,0,0,23287.95587158203,10277.590393066406,450.6527099609375,16539398144,8355049472,10288275456,0
200,1759396938897,1075,687,628,858,936,822,880,828,95,95.23809814453125,95,100,95.23809814453125,95,95,95,0,23293.26287841797,10281.652221679688,450.662841796875,16539398144,8355049472,10313461760,0
0,1759396939098,1075,687,628,858,936,822,880,828,21.052631378173828,25,25,40,20,21.052631378173828,23.809524536132813,45,0,23296.313720703125,10283.4580078125,450.6710205078125,16539398144,8355049472,10194022400,0
