Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396958507,914,732,865,620,1167,832,839,3650,7.692307949066162,7.407407283782959,0,3.846153974533081,11.111111640930176,7.692307949066162,3.846153974533081,7.407407283782959,0,23549.11865234375,10423.128723144531,451.972412109375,16539398144,8355049472,10313658368,0
200,1759396958507,914,732,865,620,1167,832,839,3650,7.692307949066162,7.407407283782959,0,3.846153974533081,11.111111640930176,7.692307949066162,3.846153974533081,7.407407283782959,0,23549.126403808594,10423.128723144531,451.972412109375,16539398144,8355049472,10313695232,0
200,1759396958707,914,732,865,620,1167,832,839,3650,95,15.000000953674316,4.761904716491699,0,0,0,0,4.761904716491699,0,23553.002990722656,10425.861083984375,451.99078369140625,16539398144,8355049472,10400178176,0
200,1759396958907,914,732,865,620,1167,832,839,3650,60.000003814697266,0,5,0,0,0,0,42.105262756347656,0,23557.275512695313,10428.995361328125,452.0008544921875,16539398144,8355049472,10461777920,0
200,1759396959108,914,732,865,620,1167,832,839,3650,0,10,0,5,0,4.761904716491699,0,100,0,23561.368591308594,10431.967590332031,452.0008544921875,16539398144,8355049472,10488844288,0
200,1759396959308,914,732,865,620,1167,832,839,3650,0,0,0,0,0,0,0,100,0,23565.23468017578,10434.689270019531,452.02325439453125,16539398144,8355049472,10504413184,0
200,1759396959508,914,732,865,620,1167,832,839,3650,0,0,0,4.761904716491699,0,0,0,90,0,23568.73388671875,10437.0498046875,452.03076171875,16539398144,8355049472,10534629376,0
200,1759396959708,914,732,865,620,1167,832,839,3650,0,0,0,70,0,0,0,28.571430206298828,0,23572.428649902344,10439.617248535156,452.03076171875,16539398144,8355049472,10556915712,0
200,1759396959908,914,732,865,620,1167,832,839,3650,0,0,0,94.73684692382813,0,0,0,0,0,23576.063537597656,10442.1220703125,452.0338134765625,16539398144,8355049472,10592829440,0
200,1759396960108,914,732,865,620,1167,832,839,3650,0,0,0,85,0,0,0,10.526315689086914,0,23579.585876464844,10444.509704589844,452.0338134765625,16539398144,8355049472,10611970048,0
200,1759396960308,914,732,865,620,1167,832,839,3650,4.761904716491699,4.761904716491699,0,0,0,0,4.761904716491699,100,0,23583.46307373047,10447.275146484375,452.0338134765625,16539398144,8355049472,10625953792,0
200,1759396960509,914,732,865,620,1167,832,839,3650,0,30.000001907348633,30.000001907348633,0,30.000001907348633,0,0,95,0,23586.483520507813,10449.1591796875,452.03546142578125,16539398144,8355049472,10624577536,0
199,1759396960709,914,732,865,620,1167,832,839,3650,0,0,0,0,0,0,0,100,0,23588.60076904297,10450.101989746094,452.03546142578125,16539398144,8355049472,10624991232,0
200,1759396960909,914,732,865,620,1167,832,839,3650,0,0,0,0,0,0,10,85,0,23591.383728027344,10451.721435546875,452.03546142578125,16539398144,8355049472,10312798208,0
0,1759396961109,914,732,865,620,1167,832,839,3650,0,5,4.761904716491699,0,0,0,25,0,0,23592.978881835938,10452.1875,452.0523681640625,16539398144,8355049472,10312851456,0
